"DATA AS OF","DEVELOPMENT","HUD AMP#","TDS#","CONSOLIDATED TDS#","DEVELOPMENT EDP#","OPERATING EDP#","HUD #","PROGRAM","METHOD","TYPE","NUMBER OF SECTION 8 TRANSITION APARTMENTS","NUMBER OF CURRENT APARTMENTS","TOTAL NUMBER OF APARTMENTS","NUMBER OF RENTAL ROOMS","AVG NO R/R PER APARTMENT","POPULATION SECTION 8 TRANSITION","POPULATION PUBLIC HOUSING","TOTAL POPULATION","TOTAL # OF FIXED INCOME HOUSEHOLD","PERCENT FIXED INCOME HOUSEHOLDS","NUMBER OF RESIDENTIAL BLDGS","NUMBER OF NON-RESIDENTIAL BLDGS","NUMBER OF STAIRHALLS","NUMBER OF STORIES","TOTAL AREA SQ FT","ACRES","NET DEV AREA SQ FT","EXCLUDING PARK ACRES","BLDG COVERAGE SQ FT","CUBAGE CU FT","BLDG COVERAGE %","DENSITY","DEVELOPMENT COST","PER RENTAL ROOM","AVG MONTHLY GROSS RENT","LOCATION STREET A","LOCATION STREET B","LOCATION STREET C","LOCATION STREET D","BOROUGH","COMMUNITY DISTIRCT","US CONGRESSIONAL DISTRICT","NY STATE SENATE DISTRICT","NY STATE ASSEMBLY DISTRICT","NY CITY COUNCIL DISTRICT","COMPLETION DATE","FEDERALIZED DEVELOPMENT","SENIOR DEVELOPMENT","ELECTRICITY PAID BY RESIDENTS","PRIVATE MANAGEMENT","RAD TRANSFERRED DATE"
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP III)","NY005012090","213","091","340","324","NY005158","FEDERAL","CONVENTIONAL","REHAB","0","11","11","59.5","5.41","0","15","15","6","0.6","10","0","11","1–2","26,362.0","0.61","48,377","1.11",,,,"25","$391,158","$3,743","$948","9 QUEENS","1 BRONX",,,"BRONX/QUEENS",,"05, 15","10, 14, 36","29, 31, 32, 33, 83","12, 27, 28, 31","1971-04-30T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP IV)","NY005012090","226","091","345","324","NY005159","FEDERAL","CONVENTIONAL","REHAB","0","9","9","51.5","5.72","0","13","13","5","0.5556","9","0","9","1–2–3","26,229.0","0.60","59,855","1.37",,,,"22","$535,873","$4,084","$1,106","8 QUEENS","1 BRONX",,,"BRONX/QUEENS",,"05, 14","10, 14, 34","24, 29, 32, 33, 85","18, 27, 28, 31","1971-06-30T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP IX)","NY005012090","283","091","376","324","NY005206","FEDERAL","CONVENTIONAL","REHAB","0","27","27","126.5","4.69","0","23","23","9","0.6429","12","0","27","1–1.5–2–2.5–3","27,532.0","0.63","50,476","1.16",,,,"36","$920,558","$3,885","$1,020","2 QUEENS","10 BROOKLYN",,,"BROOKLYN/QUEENS",,"05, 07, 08, 09, 10","10, 19, 20, 25, 26","32, 52, 57, 58, 60","28, 35, 39, 41, 42","1983-01-31T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP V)","NY005012090","260","091","397","324","NY005182","FEDERAL","CONVENTIONAL","REHAB","0","32","32","166.0","5.19","0","50","50","14","0.56","28","0","32","1–2–3","95,855.0","2.20","140,965","3.24",,,,"23","$1,241,649","$3,993","$940","27 QUEENS","1 BROOKLYN",,,"BROOKLYN/QUEENS",,"05, 08","10, 14, 19","29, 31, 32, 33, 60","27, 28, 31, 42","1972-09-30T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP VI)","NY005012090","273","091","395","324","NY005199","FEDERAL","CONVENTIONAL","REHAB","0","7","7","36.5","5.21","0","4","4","3","1","6","0","7","1–1.5–2–2.5","16,337.1","0.38","46,406","1.07",,,,"11","$369,711","$4,201","$731","6 QUEENS",,,,"QUEENS",,"05","10, 14","31, 32, 33","27, 28, 31","1976-07-31T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP VII)","NY005012090","274","091","396","324","NY005197","FEDERAL","CONVENTIONAL","REHAB","0","5","5","29.5","5.90","0","6","6","3","0.75","5","0","5","1–1.5–2–2.5","14,530.0","0.33","41,138","0.94",,,,"18","$453,780","$4,605","$678","5 QUEENS",,,,"QUEENS",,"05","10, 14","29, 31, 33","27, 28","1976-07-31T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP VIII)","NY005012090","275","091","520","324","NY005198","FEDERAL","CONVENTIONAL","REHAB","0","7","7","38.5","5.50","0","10","10","1","0.3333","7","0","7","1–1.5–2–2.5","20,081.2","0.46","34,842","0.80",,,,"22","$323,522","$4,616","$864","7 QUEENS",,,,"QUEENS",,"05","10, 14","29, 31, 32, 33","27, 28, 31","1976-07-31T00:00:00.000",,,"YES",,
"1/1/2025","FHA REPOSSESSED HOUSES (GROUP X)","NY005012090","284","091","521","324","NY005212","FEDERAL","CONVENTIONAL","REHAB","0","17","17","92.5","5.44","0","25","25","7","0.5833","16","0","17","1–1.5–2–2.5","48,795.4","1.12","99,627","2.29",,,,"22","$2,074,109","$8,198","$685","16 QUEENS",,,,"QUEENS",,"05","10, 14","23, 29, 31, 32, 33","27, 28, 31","1983-01-31T00:00:00.000",,,"YES",,
"1/1/2025","FIORENTINO PLAZA","NY005012610","207","261","375","375","NY005188","FEDERAL","CONVENTIONAL","NEW CONST",,"158","160","774.5","5.00","0","438","438","34","0.0022","8","0","10","4","98,097.8","2.25","95,000","2.18","42,189","1,916,306","44.41%","194","$6,138,432","$7,712","$577","GLENMORE AVE","VAN SICLEN AVE","PITKIN AVE","WYONA ST","BROOKLYN","5","08","19","54","42","1971-10-31T00:00:00.000",,,,,"12/28/2021"
"1/1/2025","FIRST HOUSES","NY005012920","001","337","370","370","NY005181A","FEDERAL","CONVENTIONAL","NEW CONST","0","125","126","444.5","3.56","0","116","116","40","0.5195","8","0","8","4–5","53,675.7","1.23","53,532","1.23","24,540","1,411,795","45.84%","94","$1,384,643","$3,653","$592","E 2ND ST","E 3RD ST","AVENUE A","FIRST AVE","MANHATTAN","3","10","27","74","02","1936-05-31T00:00:00.000","1972/06/29-FED TRAN",,"YES",,
"1/1/2025","FOREST","NY005000590","059","059","535","535","NY005220F","FEDERAL","CONVENTIONAL","NEW CONST","0","1,348","1,350","6,152.0","4.56","0","2,683","2,683","547","0.424","15","0","15","9–10–14","758,861.5","17.42","700,087","16.07","125,002","11,465,400","16.19%","154","$19,576,000","$3,186","$588","TINTON AVE","E 163RD ST","TRINITY AVE","E 166TH ST","BRONX","3","15","32","79","17","1956-11-12T00:00:00.000","1978/07/01-ATP 3",,,,
"1/1/2025","FORT INDEPENDENCE STREET-HEATH AVENUE","NY005012020","197","197","308","311","NY005110","FEDERAL","TURNKEY","NEW CONST","0","341","344","1,504.5","4.41","0","670","670","155","0.4829","1","0","2","21","151,365.0","3.47","149,152","3.42","25,162","3,321,343","16.87%","193","$10,566,070","$6,933","$551","FT INDEPENDENCE ST","HEATH AVE","BAILEY AVE","SUMMIT PL","BRONX","8","13","31","81","14","1974-11-30T00:00:00.000",,,,,"06/24/2025"
"1/1/2025","FORT WASHINGTON AVENUE REHAB","NY005013090","309","309","341","341","NY005266","FEDERAL","TURNKEY","REHAB (ELD)",,"226","226","814.0","3.60","0","275","275","205","0.0091","1","0","2","7","113,818.6","2.61","112,034","2.57","43,735","3,690,779","39.04%","105","$16,237,236","$19,862","$318","RIVERSIDE DR","W 163RD ST","FT WASHINGTON AVE","W 165TH ST","MANHATTAN","12","13","31","71","10","1985-10-01T00:00:00.000",,"EXCLUSIVELY","YES",,"11/30/2020"
"1/1/2025","FRANKLIN AVENUE I CONVENTIONAL","NY005015310","525","531","479","482","NY005314","FEDERAL","CONVENTIONAL","REHAB",,"60","61","264.0","4.40",,,"130",,,"3","0","3","5","30,403.5","0.70","28,251","0.65","10,811","649,812","38.27%","186","$5,015,464","$17,629","$491","E 169TH ST","FRANKLIN AVE","E 170TH ST",,"BRONX","3","15","32","79","16","1994-08-31T00:00:00.000",,,"YES","YES","11/30/2018"
"1/1/2025","FRANKLIN AVENUE II CONVENTIONAL","NY005015310","531","531","482","482","NY005346","FEDERAL","CONVENTIONAL","REHAB",,"45","45","196.5","4.37",,,"92",,,"3","0","3","5","18,889.8","0.43","19,319","0.44","8,080","508,109","41.82%","212","$3,401,250","$17,309","$386","E 169TH ST","FRANKLIN AVE","E 170TH ST",,"BRONX","3","15","32","79","16, 17","1994-08-31T00:00:00.000",,,"YES","YES","11/30/2018"
"1/1/2025","FRANKLIN AVENUE III CONVENTIONAL","NY005015310","524","531","480","482","NY005348","FEDERAL","CONVENTIONAL","REHAB",,"15","15","65.5","4.37",,,"36",,,"1","0","1","5","4,495.3","0.10","4,200","0.10","2,803","150,400","66.74%","349","$1,189,930","$18,167","$450","FRANKLIN AVE","E 170TH ST","CLINTON AVE","JEFFERSON PL","BRONX","3","15","32","79","17","1994-08-31T00:00:00.000",,,"YES","YES","11/30/2018"
"1/1/2025","FULTON","NY005001360","136","136","252","252","NY005053","FEDERAL","CONVENTIONAL","NEW CONST","0","944","944","4,223.0","4.47","0","1,809","1,809","433","0.4977","11","1","11","6–25","270,743.1","6.22","214,139","4.92","70,645","8,097,991","25.88%","291","$20,727,847","$4,866","$756","W 16TH ST","W 19TH ST","NINTH AVE",,"MANHATTAN","4","12","47","75","03","1965-03-31T00:00:00.000",,,,,
"1/1/2025","GARVEY (GROUP A)","NY005012520","252","252","381","381","NY005166","FEDERAL","CONVENTIONAL","NEW CONST","0","320","321","1,525.0","4.77","0","793","793","128","0.4051","3","1","5","2—6–14","147,049.1","3.38","142,730","3.28","40,745","3,257,257","28.55%","235","$12,599,489","$8,168","$718","EAST NEW YORK AVE","AMBOY ST","PITKIN AVE",,"BROOKLYN","16","08","25","55","41","1975-02-28T00:00:00.000",,"PARTIALLY (1 BUILDING)",,,
"1/1/2025","GLEBE AVENUE-WESTCHESTER AVENUE","NY005010670","225","067","342","222","NY005147","FEDERAL","TURNKEY","NEW CONST (ELD)","0","131","132","434.5","3.32","0","125","125","104","0.9043","1","0","1","6","47,071.1","1.08","47,204","1.08","18,734","1,123,122","39.69%","116","$3,356,367","$7,467","$407","GLEBE AVE","WESTCHESTER AVE","CASTLE HILL AVE","LYON AVE","BRONX","10","14","34","87","18","1971-12-31T00:00:00.000",,"EXCLUSIVELY",,,
"1/1/2025","GLENMORE PLAZA","NY005011690","171","169","581","581","NY005267C","FEDERAL","CONVENTIONAL","NEW CONST","0","432","440","1,672.0","3.87","0","757","757","204","0.5025","4","0","4","10–18–24","186,561.1","4.28","186,180","4.27","24,838","4,024,811","13.34%","177","$10,600,000","$6,221","$573","PITKIN AVE","GLENMORE AVE","WATKINS ST","POWELL ST","BROOKLYN","16","08","25","55","37","1968-04-30T00:00:00.000","1980/07/01-ATP 5",,,,
"1/1/2025","GLENWOOD","NY005000440","044","044","584","584","NY005268B","FEDERAL","CONVENTIONAL","NEW CONST","0","1,186","1,188","5,207.0","4.39","0","2,252","2,252","450","0.3989","20","0","40","6","926,690.5","21.27","915,230","21.01","183,856","10,242,805","18.86%","106","$12,907,133","$2,475","$666","E 56TH ST","FARRAGUT RD","RALPH AVE","AVENUE H","BROOKLYN","18","09","21","59","45","1950-07-14T00:00:00.000","1980/07/01-ATP 6",,,,
"1/1/2025","GOMPERS","NY005011000","100","100","237","237","NY005032","FEDERAL","CONVENTIONAL","NEW CONST","0","472","474","2,195.0","4.65","0","966","966","218","0.4866","2","2","4","20","162,107.6","3.72","161,016","3.70","24,555","4,083,496","15.25%","260","$9,322,807","$4,240","$654","DELANCY ST","PITT ST","STANTON ST",,"MANHATTAN","3","10","27","65","02","1964-04-30T00:00:00.000",,,,,
"1/1/2025","GOWANUS","NY005000250","025","025","515","515","NY005213G","FEDERAL","CONVENTIONAL","NEW CONST","0","1,131","1,139","5,408.5","4.78","0","2,247","2,247","484","0.4523","15","1","24","4–6–9–13–14","500,001.5","11.48","502,216","11.53","105,659","9,028,680","19.29%","196","$11,928,000","$2,203","$713","WYCKOFF ST","DOUGLASS ST","BOND ST","HOYT ST","BROOKLYN","6","10","26","52","39","1949-06-24T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","GRAMPION","NY005010300","281","030","507","503","NY005210","FEDERAL","CONVENTIONAL","REHAB",,"33","35","148.5","4.50","0","68","68","5","0.0016","1","0","1","7","7,461.9","0.17","7,144","0.16","5,000","377,500","69.99%","397","$817,621","$5,094","$613","W 119TH ST","SAINT NICHOLAS AVE",,,"MANHATTAN","10","13","30","70","09","1977-05-17T00:00:00.000",,,"YES",,"11/30/2020"
"1/1/2025","GRANT","NY005000870","087","087","232","232","NY005030","FEDERAL","CONVENTIONAL","NEW CONST","0","1,939","1,940","9,133.5","4.71","0","3,804","3,804","751","0.4151","9","1","9","13–21","664,302.8","15.25","655,681","15.05","101,477","16,701,596","15.48%","249","$28,783,425","$3,150","$678","W 125TH ST","MORNINGSIDE AVE","W 123RD ST","BROADWAY","MANHATTAN","9","13","30","69","07","1957-10-31T00:00:00.000",,,,,
"1/1/2025","GRAVESEND","NY005011720","068","172","225","225","NY005025","FEDERAL","CONVENTIONAL","NEW CONST","0","633","634","2,947.5","4.66","0","1,343","1,343","254","0.432","15","0","15","7","539,230.0","12.38","540,725","12.41","92,855","5,356,500","17.17%","108","$7,927,996","$2,687","$587","NEPTUNE AVE","BAYVIEW AVE","W 33RD ST",,"BROOKLYN","13","08","23","46","47","1954-06-28T00:00:00.000",,,,,
"1/1/2025","GUN HILL","NY005010470","040","040","579","579","NY005267A","FEDERAL","CONVENTIONAL","NEW CONST","0","727","733","3,106.5","4.27","0","1,365","1,365","319","0.4487","6","0","6","14","321,165.3","7.37","314,070","7.21","54,684","6,221,645","15.84%","185","$8,709,286","$2,784","$655","HOLLAND AVE","WHITE PLAINS RD","GUN HILL RD","MAGENTA ST","BRONX","12","15","36","83","12","1950-11-30T00:00:00.000","1980/07/01-ATP 5",,,,
"1/1/2025","HABER","NY005011660","142","166","589","589","NY005271D","FEDERAL","CONVENTIONAL","NEW CONST (ELD)","0","380","380","1,327.0","3.49","0","412","412","342","0.9526","3","0","3","14","137,508.1","3.16","134,432","3.09","23,903","2,547,605","17.78%","131","$7,494,000","$5,647","$355","W 24TH ST","SURF AVE","REIGELMANN BRDWLK","W 25TH ST","BROOKLYN","13","08","23","46","47","1965-06-30T00:00:00.000","1980/10/01-ATP 7","EXCLUSIVELY",,,
"1/1/2025","HAMMEL","NY005010750","075","075","226","226","NY005027","FEDERAL","CONVENTIONAL","NEW CONST","0","703","712","3,267.5","4.65","0","1,510","1,510","264","0.4024","14","0","14","7","616,450.1","14.15","572,678","13.15","107,706","5,991,153","17.47%","107","$9,618,901","$2,909","$546","B 86TH ST","HAMMELS BLVD","B 81ST ST","ROCKAWAY BCH BLVD","QUEENS","14","05","10","31","31","1955-04-20T00:00:00.000",,,,,
"1/1/2025","HARBORVIEW TERRACE","NY005010220","262","022","377","377","NY005168","FEDERAL","TURNKEY","NEW CONST","0","376","377","1,490.0","3.96","0","559","559","246","0.6872","2","0","2","14–15","122,770.8","2.82","120,497","2.77","22,666","3,139,759","18.81%","198","$16,721,224","$10,911","$620","W 54TH ST","W 56TH ST","TENTH AVE","ELEVENTH AVE","MANHATTAN","4","12","47","67","06","1977-06-30T00:00:00.000",,"PARTIALLY (1 BUILDING)",,,
"1/1/2025","HARLEM RIVER","NY005010030","003","003","201","201","NY005042","FEDERAL","CONVENTIONAL","NEW CONST",,"574","577","2,179.5","3.90","0","1,077","1,077","193","0.0034","7","0","47","4-5","318,887.1","7.32","313,137","7.19","103,777","5,237,933","32.22%","147","$4,147,782","$2,103","$536","MACOMBS PL","HARLEM RIVER DR","W 151ST ST","W 153RD ST","MANHATTAN","10","13","30","71","09","1937-10-01T00:00:00.000",,,,,"02/17/2022"
"1/1/2025","HARLEM RIVER II","NY005010030","147","003","256","201","NY005051","FEDERAL","CONVENTIONAL","NEW CONST",,"116","116","507.0","4.45","0","285","285","39","0.0034","1","0","1","15","29,964.9","0.69","28,815","0.66","7,281","981,227","25.27%","414","$2,605,601","$5,059","$624","DOUGLASS BLVD","W 152ND ST","MACOMBS PL","W 151ST ST","MANHATTAN","10","13","30","71","09","1965-10-31T00:00:00.000",,,,,"02/17/2022"
"1/1/2025","HARRISON AVENUE REHAB (GROUP A)","NY005013410","347","341","772","762","NY005231","FEDERAL","TURNKEY","REHAB","0","34","34","146.0","4.29","0","67","67","20","0.6452","1","0","1","5","9,576.1","0.22","9,167","0.21","6,698","404,958","73.07%","305","$2,368,803","$16,225","$501","HARRISON AVE","W BURNSIDE AVE","GRAND AVE","KINGSLAND PL","BRONX","5","13","33","86","14","1986-09-01T00:00:00.000",,,"YES","YES","06/24/2025"
"1/1/2025","HARRISON AVENUE REHAB (GROUP B)","NY005013410","547","341","773","762","NY005287","FEDERAL","TURNKEY","REHAB","0","150","150","664.0","4.43","0","283","283","59","0.4403","4","0","4","5–6","48,112.4","1.10","44,753","1.03","29,954","1,856,310","66.93%","256","$10,059,298","$15,150","$578","UNIVERSITY PL","W BURNSIDE AVE","GRAND AVE","KINGSLAND PL","BRONX","5","13","31, 33","86","14","1986-12-01T00:00:00.000",,,"YES","YES","06/24/2025"
"1/1/2025","HERNANDEZ","NY005011000","184","100","286","237","NY005085","FEDERAL","CONVENTIONAL","NEW CONST","0","149","149","601.5","4.04","0","229","229","85","0.6343","1","0","1","17","45,785.4","1.05","44,689","1.03","13,167","1,293,680","29.46%","218","$3,731,491","$6,077","$540","ALLEN ST","STANTON ST","ELDRIDGE ST","E HOUSTON ST","MANHATTAN","3","10","27","65","01","1971-08-31T00:00:00.000",,,,,
"1/1/2025","HIGHBRIDGE GARDENS","NY005000780","078","078","229","229","NY005026","FEDERAL","CONVENTIONAL","NEW CONST","0","699","700","3,247.5","4.65","0","1,406","1,406","266","0.4006","6","0","6","13–14","500,854.1","11.50","496,875","11.41","55,678","5,837,785","10.12%","122","$7,547,875","$2,321","$649","SEDGWICK AVE","W 167TH ST","UNIVERSITY AVE",,"BRONX","4","15","29","77","16","1954-06-18T00:00:00.000",,,,,
"1/1/2025","HIGHBRIDGE REHABS (ANDERSON AVENUE)","NY005015310","370","531","808","482","NY005312","FEDERAL","TURNKEY","REHAB",,"135","135","640.5","4.74",,,"364",,,"4","0","4","5-6","36,946.0","0.85","36,729","0.84","27,249","1,778,952","74.19%","429","$13,271,641","$20,721","$432","ANDERSON AVE","W 166TH ST","NELSON AVE","W 167TH ST","BRONX","4","15","29","77","16","1997-04-30T00:00:00.000",,,"YES","YES","11/30/2018"
"1/1/2025","HIGHBRIDGE REHABS (NELSON AVENUE)","NY005015310","371","531","809","482","NY005313","FEDERAL","TURNKEY","REHAB",,"80","80","380.0","4.75",,,"212",,,"3","0","3","5-6","38,112.6","0.87","37,492","0.87","18,840","1,042,289","50.25%","242","$8,428,841","$22,181","$543","W 166TH ST","NELSON AVE","W 168TH ST",,"BRONX","4","15","29","77","16","1996-10-31T00:00:00.000",,,"YES","YES","11/30/2018"
"1/1/2025","HOE AVENUE-EAST 173RD STREET","NY005015300","215","530","333","748","NY005164","FEDERAL","TURNKEY","NEW CONST","0","65","65","270.5","4.16","0","132","132","17","0.2787","1","0","1","6","22,426.9","0.51","22,000","0.51","9,242","602,580","42.01%","256","$1,583,566","$5,801","$664","HOE AVE","E 173RD ST","E 174TH ST","VYSE AVE","BRONX","3","15","32","79","17","1970-12-31T00:00:00.000",,,,"YES",
"1/1/2025","HOLMES TOWERS","NY005011390","159","139","277","253","NY005069","FEDERAL","CONVENTIONAL","NEW CONST","0","534","537","2,061.0","3.86","0","861","861","262","0.5117","2","0","2","25","119,471.9","2.74","122,341","2.81","19,872","3,893,920","16.24%","314","$10,435,545","$4,952","$597","FIRST AVE","ISAACS HOUSES","FDR DRIVE","E 92ND ST","MANHATTAN","8","12","29","68","08","1969-04-30T00:00:00.000",,,,,
"1/1/2025","HOPE GARDENS","NY005012470","247","247","546","546","NY005218","FEDERAL","CONVENTIONAL","NEW CONST",,"324","330","1,404.5","4.35",,,"702",,,"4","1","4","7-14","198,344.9","4.55","202,500","4.65","41,000","351,600","20.25%","154","$20,632,339","$14,504","$456","LINDEN ST","WILSON AVE","GROVE ST",,"BROOKLYN","4","07","18","53","37","1981-08-31T00:00:00.000",,"PARTIALLY","YES",,"07/18/2019"
"1/1/2025","HOWARD","NY005000720","072","072","568","568","NY005244A","FEDERAL","CONVENTIONAL","NEW CONST","0","810","815","3,686.0","4.55","0","1,707","1,707","343","0.446","10","0","16","7–13","620,389.6","14.24","621,176","14.26","87,500","6,943,700","13.16%","120","$11,359,000","$3,079","$494","EAST NEW YORK AVE","MOTHER GASTON BLVD","PITKIN AVE","ROCKAWAY AVE","BROOKLYN","16","08","25","55","41","1955-12-30T00:00:00.000","1979/08/01-ATP 4",,,,
"1/1/2025","HOWARD AVENUE","NY005013510","339","351","782","765","NY005261","FEDERAL","TURNKEY","NEW CONST",,"143","150","648.5","4.53","0","336","336","49","0.0034","5","1","25","3","139,836.1","3.21","132,915","3.05","50,568","1,536,736","38.05%","105","$11,464,557","$15,641","$699","EAST NEW YORK AVE","GRAFTON ST","SUTTER AVE","TAPSCOTT ST","BROOKLYN","16","08, 09","25","55","41","1988-08-01T00:00:00.000",,,"YES",,"11/28/2023"
"1/1/2025","HOWARD AVENUE-PARK PLACE","NY005013510","365","351","551","551","NY005225","FEDERAL","TURNKEY","NEW CONST",,"148","156","742.0","5.01","0","394","394","44","0.003","8","0","156","3","201,828.9","4.63","197,563","4.54","54,978","1,657,275","27.83%","85","$15,843,706","$20,286","$681","HOWARD AVE","STERLING PL","EASTERN PKWY","SAINT JOHNS PL","BROOKLYN","16","09","25","55","41","1994-08-31T00:00:00.000",,,"YES",,"11/28/2023"
"1/1/2025","HUGHES APARTMENTS","NY005011680","168","168","275","275","NY005081","FEDERAL","CONVENTIONAL","NEW CONST","0","503","513","2,399.5","4.77","0","1,229","1,229","170","0.3455","3","1","3","22","238,734.3","5.48","241,990","5.56","23,502","4,599,540","9.71%","224","$10,288,064","$4,201","$696","ROCKAWAY AVE","MOTHER GASTON BLVD","SUTTER AVE","BELMONT AVE","BROOKLYN","16","08","25","55","41","1968-06-30T00:00:00.000",,,,,
"1/1/2025","HUNTS POINT AVENUE REHAB","NY005015300","367","530","806","748","NY005299","FEDERAL","TURNKEY","REHAB","0","131","131","605.5","4.62","0","306","306","37","0.296","13","0","13","4–5","59,077.8","1.36","58,206","1.34","35,180","1,540,888","60.44%","226","$13,280,604","$21,933","$619","LAFAYETTE AVE","HUNTS POINT AVE","SENECA AVE","IRVINE ST","BRONX","2","14","29","85","17","1991-11-30T00:00:00.000",,,"YES","YES",
"1/1/2025","HYLAN","NY005010860","109","086","680","680","NY005364","FEDERAL","CONVENTIONAL","NEW CONST","0","209","209","933.5","4.47","0","405","405","92","0.4646","1","0","1","19","73,935.7","1.70","77,658","1.78","11,403","1,878,400","14.68%","239","$3,945,608","$4,240","$610","MOORE ST","HUMBOLDT ST","SEIGEL ST","BUSHWICK AVE","BROOKLYN","1","07","18","53","34","1960-06-30T00:00:00.000","1995/07/13-PTA",,,,
"1/1/2025","INDEPENDENCE","NY005021400","140","234","442","442","NY005376","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","108","742","744","3,302.0","4.50","289",,"1,791",,,"6","0","6","21","245,417.7","5.63","232,000","5.33","44,685","6,457,003","19.26%","318","$14,543,000","$4,344","$426","CLYMER ST","WILSON ST","WYTHE AVE","BEDFORD AVE","BROOKLYN","1","07","18","50","34","1965-10-31T00:00:00.000",,,,,"02/12/2020"
"1/1/2025","INGERSOLL","NY005000140","014","014","510","510","NY005213B","FEDERAL","CONVENTIONAL","NEW CONST","0","1,820","1,840","8,646.0","4.75","0","3,579","3,579","579","0.3704","20","1","45","6–11","988,915.2","22.70","812,641","18.66","175,748","10,226,288","17.62%","158","$12,236,672","$1,681","$667","PARK AVE","SAINT EDWARDS ST","MYRTLE AVE","PRINCE ST","BROOKLYN","2","07","25","52, 57","35","1944-02-24T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","INTERNATIONAL TOWER","NY005010910","316","091","296","296","NY005241","FEDERAL","TURNKEY","NEW CONST (ELD)","0","146","159","520.0","3.56","0","174","174","127","0.9007","1","0","1","10","42,698.7","0.98","42,500","0.98","12,689","1,126,314","29.86%","178","$10,992,764","$19,269","$457","170TH ST","90TH AVE","169TH ST","JAMAICA AVE","QUEENS","12","05","11","29","27","1983-05-31T00:00:00.000",,"EXCLUSIVELY","YES",,
"1/1/2025","ISAACS","NY005011390","139","139","253","253","NY005057","FEDERAL","CONVENTIONAL","NEW CONST","0","633","636","2,634.5","4.16","0","1,131","1,131","314","0.5148","3","3","3","24","159,193.4","3.65","152,173","3.49","32,645","4,857,894","21.45%","309","$13,251,410","$5,009","$615","E 93RD ST","FIRST AVE","FDR DRIVE",,"MANHATTAN","8","12","29","68","08","1965-07-31T00:00:00.000",,,,,
"1/1/2025","JACKSON","NY005012670","120","267","243","243","NY005043","FEDERAL","CONVENTIONAL","NEW CONST","0","864","868","4,115.0","4.76","0","1,832","1,832","322","0.4025","7","1","7","16","342,363.4","7.86","343,403","7.88","59,552","7,682,714","17.34%","233","$14,850,303","$3,590","$568","PARK AVE","COURTLANDT AVE","E 158TH ST","E 156TH ST","BRONX","1","15","29","79","17","1963-07-31T00:00:00.000",,,,,
"1/1/2025","JEFFERSON","NY005010640","064","064","219","219","NY005016","FEDERAL","CONVENTIONAL","NEW CONST","0","1,476","1,493","6,896.0","4.67","0","2,932","2,932","626","0.4433","18","1","34","7–13–14","758,793.8","17.42","757,179","17.38","149,778","13,032,612","19.78%","168","$26,894,981","$3,854","$646","E 112TH ST","THIRD AVE","E 115TH ST","FIRST AVE","MANHATTAN","11","13","29","68","08","1959-08-28T00:00:00.000",,,,,
"1/1/2025","JOHNSON","NY005000170","017","017","516","516","NY005213H","FEDERAL","CONVENTIONAL","NEW CONST","0","1,296","1,310","6,121.0","4.72","0","2,699","2,699","511","0.4114","10","0","17","14","462,432.6","10.62","456,630","10.48","97,804","10,582,024","18.89%","254","$14,348,000","$2,337","$676","E 112TH ST","E 115TH ST","THIRD AVE","PARK AVE","MANHATTAN","11","13","30","68","08","1948-12-27T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","KING TOWERS","NY005010300","030","030","518","518","NY005213J","FEDERAL","CONVENTIONAL","NEW CONST","0","1,378","1,379","6,347.0","4.61","0","2,624","2,624","551","0.4291","10","0","10","13–14","563,907.8","12.95","555,560","12.75","98,822","11,745,000","16.49%","203","$19,859,000","$3,135","$645","W 112TH ST","LENOX AVE","W 115TH ST","FIFTH AVE","MANHATTAN","10","13","30","70","09","1954-11-01T00:00:00.000","1977/07/01-ATP 1",,,,
"1/1/2025","KINGSBOROUGH","NY005010100","010","010","205","205","NY005006","FEDERAL","CONVENTIONAL","NEW CONST","0","1,155","1,165","4,711.5","4.08","0","2,230","2,230","430","0.3967","16","0","35","6","704,895.3","16.18","665,526","15.28","129,189","8,037,853","18.57%","138","$5,175,100","$1,107","$633","RALPH AVE","PACIFIC ST","BERGEN ST","ROCHESTER AVE","BROOKLYN","8, 16","08, 09","20, 25","55, 56","41","1941-10-31T00:00:00.000",,,,,
